,retrived_at,province_id,city,state,country,pollution_aqi,polution_main,weather_tp,weather_pr,weather_hu,weather_ws,weather_wd
1,4/30/2023 10:15:27,TH-10,Phra Nakhon,Bangkok,Thailand,82,p2,29,1009,57,3.19,170
2,4/30/2023 10:15:58,TH-11,Bang Phli,Samut Prakan,Thailand,53,p2,28,1010,83,6.17,240
3,4/30/2023 10:16:28,TH-12,Mueang Nonthaburi,Nonthaburi,Thailand,43,p2,30,1010,70,4.63,240
4,4/30/2023 10:16:59,TH-13,Khlong Luang,Pathum Thani,Thailand,63,p2,32,1011,74,4.63,240
5,4/30/2023 10:17:30,TH-14,Ayutthaya,Phra Nakhon Si Ayutthaya,Thailand,92,p2,35,1009,49,2.65,136
6,4/30/2023 10:18:00,TH-15,Ban Phraek,Phra Nakhon Si Ayutthaya,Thailand,99,p2,32,1009,50,2.67,136
7,4/30/2023 10:18:31,TH-16,Ban Mi,Lop Buri,Thailand,93,p2,32,1009,50,3,122
8,4/30/2023 10:19:02,TH-20,Na Kluea,Chon Buri,Thailand,76,p2,33,1010,61,2.51,189
9,4/30/2023 10:19:33,TH-21,Ban Khai,Rayong,Thailand,74,p2,33,1010,64,2.41,153
10,4/30/2023 10:20:04,TH-50,Chiang Mai,Chiang Mai,Thailand,153,p2,33,982,41,3.09,220
11,4/30/2023 10:20:35,TH-52,Hang Chat,Lampang,Thailand,112,p2,34,1010,27,2.17,155
12,4/30/2023 11:15:28,TH-10,Phra Nakhon,Bangkok,Thailand,82,p2,26,1009,43,3.64,159
13,4/30/2023 11:16:00,TH-11,Bang Phli,Samut Prakan,Thailand,37,p2,27,1010,74,1.03,0
14,4/30/2023 11:16:32,TH-12,Mueang Nonthaburi,Nonthaburi,Thailand,56,p2,27,1011,89,6.17,10
15,4/30/2023 11:17:02,TH-13,Khlong Luang,Pathum Thani,Thailand,21,p2,30,1012,69,6.17,10
16,4/30/2023 11:17:33,TH-14,Ayutthaya,Phra Nakhon Si Ayutthaya,Thailand,117,p2,33,1008,45,3.18,115
17,4/30/2023 11:18:04,TH-15,Ban Phraek,Phra Nakhon Si Ayutthaya,Thailand,89,p2,34,1009,44,2.85,117
18,4/30/2023 11:18:35,TH-16,Ban Mi,Lop Buri,Thailand,78,p2,34,1009,45,3.32,100
19,4/30/2023 11:19:06,TH-20,Na Kluea,Chon Buri,Thailand,76,p2,33,1009,59,2.47,199
20,4/30/2023 11:19:37,TH-21,Ban Khai,Rayong,Thailand,76,p2,33,1009,70,3.06,152
21,4/30/2023 11:20:08,TH-50,Chiang Mai,Chiang Mai,Thailand,138,p2,34,985,46,3.6,170
22,4/30/2023 11:20:38,TH-52,Hang Chat,Lampang,Thailand,102,p2,35,1009,26,2.56,154
23,4/30/2023 12:15:27,TH-10,Phra Nakhon,Bangkok,Thailand,82,p2,24,1008,41,4.2,154
24,4/30/2023 12:15:58,TH-11,Bang Phli,Samut Prakan,Thailand,49,p2,24,1010,94,6.69,10
25,4/30/2023 12:16:29,TH-12,Mueang Nonthaburi,Nonthaburi,Thailand,43,p2,33,1008,41,3.84,147
26,4/30/2023 12:17:00,TH-13,Khlong Luang,Pathum Thani,Thailand,17,p2,33,1010,52,3.42,128
27,4/30/2023 12:17:30,TH-14,Ayutthaya,Phra Nakhon Si Ayutthaya,Thailand,41,p2,33,1007,42,3.3,111
28,4/30/2023 12:18:01,TH-15,Ban Phraek,Phra Nakhon Si Ayutthaya,Thailand,89,p2,35,1008,42,2.81,107
29,4/30/2023 12:18:32,TH-16,Ban Mi,Lop Buri,Thailand,78,p2,35,1008,43,3.27,93
30,4/30/2023 12:19:03,TH-20,Na Kluea,Chon Buri,Thailand,76,p2,32,1008,58,3.02,216
31,4/30/2023 12:19:33,TH-21,Ban Khai,Rayong,Thailand,76,p2,32,1008,69,3.38,153
32,4/30/2023 12:20:04,TH-50,Chiang Mai,Chiang Mai,Thailand,128,p2,36,991,44,3.6,160
33,4/30/2023 12:20:35,TH-52,Hang Chat,Lampang,Thailand,121,p2,35,1008,29,2.66,155
34,4/30/2023 13:15:27,TH-10,Phra Nakhon,Bangkok,Thailand,80,p2,25,1006,40,4.24,151
35,4/30/2023 13:15:58,TH-11,Bang Phli,Samut Prakan,Thailand,37,p2,25,1010,83,10.8,130
36,4/30/2023 13:16:29,TH-12,Mueang Nonthaburi,Nonthaburi,Thailand,57,p2,27,1010,83,3.6,100
37,4/30/2023 13:16:59,TH-13,Khlong Luang,Pathum Thani,Thailand,17,p2,30,1010,65,3.6,100
38,4/30/2023 13:17:30,TH-14,Ayutthaya,Phra Nakhon Si Ayutthaya,Thailand,29,p2,33,1006,43,2.74,138
39,4/30/2023 13:18:01,TH-15,Ban Phraek,Phra Nakhon Si Ayutthaya,Thailand,74,p2,36,1006,43,1.41,106
40,4/30/2023 13:18:31,TH-16,Ban Mi,Lop Buri,Thailand,78,p2,36,1007,44,1.95,118
41,4/30/2023 13:19:02,TH-20,Na Kluea,Chon Buri,Thailand,55,p2,32,1007,60,4.19,230
42,4/30/2023 13:19:33,TH-21,Ban Khai,Rayong,Thailand,42,p2,27,1007,46,4.09,162
43,4/30/2023 13:20:04,TH-50,Chiang Mai,Chiang Mai,Thailand,121,p2,37,989,41,5.66,160
44,4/30/2023 13:20:35,TH-52,Hang Chat,Lampang,Thailand,88,p2,36,1006,25,2.67,152
45,4/30/2023 14:15:28,TH-10,Phra Nakhon,Bangkok,Thailand,80,p2,30,1007,59,0.69,358
46,4/30/2023 14:15:59,TH-11,Bang Phli,Samut Prakan,Thailand,21,p2,26,1009,78,3.09,160
47,4/30/2023 14:16:30,TH-12,Mueang Nonthaburi,Nonthaburi,Thailand,49,p2,29,1007,75,0.84,46
48,4/30/2023 14:17:02,TH-13,Khlong Luang,Pathum Thani,Thailand,29,p2,29,1009,76,0.45,163
49,4/30/2023 14:17:33,TH-14,Ayutthaya,Phra Nakhon Si Ayutthaya,Thailand,37,p2,31,1008,68,2.78,159
50,4/30/2023 14:18:04,TH-15,Ban Phraek,Phra Nakhon Si Ayutthaya,Thailand,74,p2,31,1007,59,3.49,169
51,4/30/2023 14:18:36,TH-16,Ban Mi,Lop Buri,Thailand,78,p2,37,1007,53,4.14,175
52,4/30/2023 14:19:07,TH-20,Na Kluea,Chon Buri,Thailand,29,p2,30,1007,64,1.95,255
53,4/30/2023 14:19:38,TH-21,Ban Khai,Rayong,Thailand,34,p2,29,1007,91,3.07,215
54,4/30/2023 14:20:09,TH-50,Chiang Mai,Chiang Mai,Thailand,113,p2,37,988,40,4.63,160
55,4/30/2023 14:20:40,TH-52,Hang Chat,Lampang,Thailand,74,p2,36,1005,24,3.83,181
56,4/30/2023 15:15:27,TH-10,Phra Nakhon,Bangkok,Thailand,78,p2,28,1006,46,2.04,61
57,4/30/2023 15:15:58,TH-11,Bang Phli,Samut Prakan,Thailand,25,p2,26,1008,78,3.6,110
58,4/30/2023 15:16:29,TH-12,Mueang Nonthaburi,Nonthaburi,Thailand,39,p2,28,1007,63,3.09,140
59,4/30/2023 15:17:00,TH-13,Khlong Luang,Pathum Thani,Thailand,37,p2,28,1007,66,3.09,140
60,4/30/2023 15:17:31,TH-14,Ayutthaya,Phra Nakhon Si Ayutthaya,Thailand,57,p2,30,1006,61,2.42,126
61,4/30/2023 15:18:01,TH-15,Ban Phraek,Phra Nakhon Si Ayutthaya,Thailand,74,p2,30,1006,54,3.13,151
62,4/30/2023 15:18:32,TH-16,Ban Mi,Lop Buri,Thailand,78,p2,33,1006,51,3.62,169
63,4/30/2023 15:19:03,TH-20,Na Kluea,Chon Buri,Thailand,29,p2,30,1006,61,0.48,315
64,4/30/2023 15:19:34,TH-21,Ban Khai,Rayong,Thailand,34,p2,29,1006,92,2.19,237
65,4/30/2023 15:20:04,TH-50,Chiang Mai,Chiang Mai,Thailand,97,p2,31,986,39,5.14,160
66,4/30/2023 15:20:35,TH-52,Hang Chat,Lampang,Thailand,74,p2,34,1005,21,2.92,178
